id,district,votes
100101,Slatington 1st District,161
100102,Slatington 2nd District,139
100103,Slatington 3rd District,248
110101,Hanover,323
120101,Heidelberg,492
130101,Lower Macungie 1st District,844
130102,Lower Macungie 2nd District,1501
130103,Lower Macungie 3rd District,668
130104,Lower Macungie 4th District,741
130105,Lower Macungie 5th District,508
130106,Lower Macungie 6th District,1062
130107,Lower Macungie 7th District,679
130108,Lower Macungie 8th District,544
130109,Lower Macungie 9th District,459
130110,Lower Macungie 10th District,716
140101,Lower Milford,764
150101,Lowhill,416
160101,Lynn New Tripoli District,420
160102,Lynn Lynnville District,122
160103,Lynn Jacksonville District,140
170101,North Whitehall 1st District,725
170102,North Whitehall 2nd District,661
170103,North Whitehall 3rd District,353
170104,North Whitehall 4th District,462
170105,North Whitehall 5th District,386
170106,North Whitehall 6th District,382
180101,Salisbury 1st Ward,534
180201,Salisbury 2nd Ward,613
180301,Salisbury 3rd Ward 1st District,274
180302,Salisbury 3rd Ward 2nd District,326
180401,Salisbury 4th Ward 1st District,403
180402,Salisbury 4th Ward 2nd District,261
180501,Salisbury 5th Ward 1st District,277
180502,Salisbury 5th Ward 2nd District,447
190101,South Whitehall 1st District,745
190102,South Whitehall 2nd District,409
190103,South Whitehall 3rd District,728
190104,South Whitehall 4th District,431
190105,South Whitehall 5th District,871
190106,South Whitehall 6th District,794
190107,South Whitehall 7th District,344
190108,South Whitehall 8th District,876
200101,Upper Macungie 1st District,797
200102,Upper Macungie 2nd District,1015
200103,Upper Macungie 3rd District,653
200104,Upper Macungie 4th District,468
200105,Upper Macungie 5th District,1078
200106,Upper Macungie 6th District,507
200107,Upper Macungie 7th District,491
200108,Upper Macungie 8th District,426
210101,Upper Milford Eastern District,891
210102,Upper Milford Western District,748
220101,Upper Saucon 1st District,636
220102,Upper Saucon 2nd District,518
220103,Upper Saucon 3rd District,381
220104,Upper Saucon 4th District,1090
220105,Upper Saucon 5th District,455
220106,Upper Saucon 6th District,508
230101,Washington Eastern District,163
230102,Washington Southern District,635
230103,Washington Western District,137
240101,Weisenberg,823
250101,Whitehall 1st District,783
250102,Whitehall 2nd District,263
250103,Whitehall 3rd District,502
250104,Whitehall 4th District,395
250105,Whitehall 5th District,228
250106,Whitehall 6th District,376
250107,Whitehall 7th District,669
250108,Whitehall 8th District,538
250109,Whitehall 9th District,486
250110,Whitehall 10th District,565
250111,Whitehall 11th District,446
250112,Whitehall 12th District,701
